Start Date	Start Timezone	End Date	End Timezone	All Day?	Summary	Calendar ID	Last Modified
2018-01-01 00:00:00	_float	2018-01-01 23:59:59	_float	1	New Year’s Day	14	2019-05-31 22:46:33
2018-01-15 00:00:00	_float	2018-01-15 23:59:59	_float	1	Martin Luther King, Jr. Day	14	2019-05-31 22:46:33
2018-02-02 00:00:00	_float	2018-02-02 23:59:59	_float	1	Groundhog Day	14	2019-05-31 22:46:33
2018-02-14 00:00:00	_float	2018-02-14 23:59:59	_float	1	Valentine’s Day	14	2019-05-31 22:46:33
2018-02-16 00:00:00	_float	2018-02-16 23:59:59	_float	1	Lunar New Year	14	2019-05-31 22:46:33
2018-02-19 00:00:00	_float	2018-02-19 23:59:59	_float	1	President's Day	14	2019-05-31 22:46:33
2018-03-02 00:00:00	_float	2018-03-02 23:59:59	_float	1	Holi	14	2019-05-31 22:46:33
2018-03-11 00:00:00	_float	2018-03-11 23:59:59	_float	1	Daylight Saving Time	14	2019-05-31 22:46:33
2018-03-17 00:00:00	_float	2018-03-17 23:59:59	_float	1	St. Patrick’s Day	14	2019-05-31 22:46:33
2018-03-25 00:00:00	_float	2018-03-25 23:59:59	_float	1	Palm Sunday	14	2019-05-31 22:46:33
2018-03-30 00:00:00	_float	2018-03-30 23:59:59	_float	1	Good Friday	14	2019-05-31 22:46:33
2018-03-31 00:00:00	_float	2018-03-31 23:59:59	_float	1	Passover	14	2019-05-31 22:46:33
2018-04-01 00:00:00	_float	2018-04-01 23:59:59	_float	1	April Fools' Day	14	2019-05-31 22:46:33
2018-04-01 00:00:00	_float	2018-04-01 23:59:59	_float	1	Easter	14	2019-05-31 22:46:33
2018-04-08 00:00:00	_float	2018-04-08 23:59:59	_float	1	Orthodox Easter	14	2019-05-31 22:46:33
2018-04-17 00:00:00	_float	2018-04-17 23:59:59	_float	1	Tax Day	14	2019-05-31 22:46:33
2018-04-22 00:00:00	_float	2018-04-22 23:59:59	_float	1	Earth Day	14	2019-05-31 22:46:33
2018-05-05 00:00:00	_float	2018-05-05 23:59:59	_float	1	Cinco de Mayo	14	2019-05-31 22:46:33
2018-05-13 00:00:00	_float	2018-05-13 23:59:59	_float	1	Mother’s Day	14	2019-05-31 22:46:33
