Timestamp	Places_from_VLOC	Labels_in_tile	Image	Tileset	Key A	Key B	Key C	Key D
2020-04-16 12:06:28				0X2C080050	0X14	-0X2F10000	0X32690008	0X2002C00
2020-04-16 12:06:28		Addison Pond Dr, Amberwing Ct, Ambler Ct, Ancient Oaks Dr, Big Shadow Trail, Carving Tree Ct, Copper Oak Path, Cuyler Ct, Duck Branch Dr, Duck Savannah Dr, Eagle Springs Ct, Fairway Vista Dr, Green Oaks Pkwy, Grey Heron Ln, Holly Springs New Hill Rd, Honeyridge Ln, Lively Oaks Way, Lolliberry Dr, Lucky Ribbon Ln, Marsh Barton Dr, Meares Bluff Ln, Mearleaf Pl, Mint Julep Way, Morning Oaks Dr, Pond Lily Ct, Quaker Meadows Ct, Rambling Oaks Ln, Silver Bluff St, Sour Mash Ct, Splendid Oak Ct, Split Trunk Path, Sweet Maple Ct, Sweet Vista Ln, Thousand Oaks Dr, Wassaw Ct		0X50080050	0X14	-0X2F10000	0X32690008	0X2005000
2020-04-16 12:11:14		Bentwinds Golf And Country Club, Harris Lake County Park, Hemlock Bluffs Nature Preserve, Knights Play Golf Center, Lochmere Golf Club, MacGregor Downs Country Club, Parrish Womble Park, Raven Rock State Park, Vista Point On Jordan Lake		0X34080050	0X14	0X47CA0000	0X1930000	0X2003400
2020-04-16 12:11:14		1, 210, 401, 42, 540, 55, 64, 751, Apex Barbecue Rd, Apex Peakway, Avents Ferry Rd, Bass Lake Rd, Beaver Creek Rd, Broad St, Broadway Rd, Cass Holt Rd, Center St, Christian Chapel Church Rd, Corinth Rd, Duncan Cook Rd, E Williams St, Evans Rd, Farrington Rd, Friendship Rd, Gb Alford Hwy, Hilltop Needmore Rd, Holly Springs New Hill Rd, Holly Springs Rd, Humie Olive Rd, Hunter St, Jefferson Davis Hwy, Johnson Pond Rd, Kelly Rd, Kildaire Farm Rd, Lake Pine Dr, Moncure Pittsboro Rd, Mt Gilead Church Rd, N Broad St, N Main St, N Salem St, NC-55, New Hill Holleman Rd, New Hill Olive Chapel Rd, Old Raleigh Rd, Old US 1 Hwy, Olive Chapel Rd, Optimist Farm Rd, Pea Ridge Rd, Penny Rd, Piney Grove Wilbon Rd, Rex Rd, Richardson Rd, Rouse Rd, S Judd Pkwy SE, S Main St, S Salem St, SE Cary Pkwy, Stephenson Rd, Sunset Lake Rd, Ten Ten Rd, Tingen Rd, Tryon Rd, W Academy St, W Williams St, Wade Nash Rd, Wilbon Rd		0X50080050	0X14	0X47CA0000	0X1930000	0X2005000
2020-04-16 12:05:35		Ancient Oaks Dr, Big Timber Path, Brownsville Ct, Carving Tree Ct, Cateswood Ct, Climbing Tree Trail, Copperhead Rd, Duck Branch Dr, Edgegrove Ln, Friendship Rd, Holly Springs New Hill Rd, King Oak St, Mint Julep Way, Pond Lily Ct, Quaker Meadows Ct, Rambling Oaks Ln, Splendid Oak Ct		0X50080050	0X14	0X7E4E0000	0X19340004	0X2005000
2020-04-16 12:05:35		Addison Pond Dr, Ainsdale Pl, Amberwing Ct, Ambler Ct, Ancient Oaks Dr, Big Shadow Trail, Broyles Ct, Carving Tree Ct, Coffee Bluff Ln, Copper Oak Path, Cuyler Ct, Cypress Hill Ln, Duck Branch Dr, Duck Savannah Dr, Eagle Springs Ct, Evans Crest Ln, Fairway Vista Dr, Green Oaks Pkwy, Grey Heron Ln, Hardy Ivy Way, Hardy Oaks Way, Hensley Grove Ct, Hensley Hill Pl, Hensley Oak Way, Holly Springs New Hill Rd, Honeyridge Ln, Hundred Oaks Ln, Ivy Arbor Way, Jumping Creek Ct, Lively Oaks Way, Lolliberry Dr, Lucky Ribbon Ln, Market Cross Ct, Marsh Barton Dr, Meares Bluff Ln, Mearleaf Pl, Mint Julep Way, Moore Hill Way, Morning Oaks Dr, Old Holly Springs Apex Rd, Owen Hill Pl, Pascalis Pl, Pond Lily Ct, Quaker Meadows Ct, Rambling Oaks Ln, Ribbon Walk Ln, Roseroot Ct, Secondary Road 1152, Secret Grove Ln, Silver Bluff St, Sour Mash Ct, Splendid Oak Ct, Split Trunk Path, Sweet Maple Ct, Sweet Vista Ln, Synandra Ln, Thousand Oaks Dr, Tree Hill Ln, Vervain Way, Wassaw Ct, Whisk Fern Way, White Hill Dr		0X50080050	0X14	0X7E8E0000	0X19340004	0X2005000
2020-04-16 12:11:18		Acorn Falls Ct, Addison Pond Dr, American Holly Ln, Avent Meadows Ln, Cedar Wren Ln, Chickasaw Plum Dr, Country Mile Rd, Covenant Rock Ln, Dexter Ridge Dr, Evergreen View Dr, Evergreen View Ln, Fosters Holly Ln, Gillean Ln, Green Oaks Pkwy, Grey Heron Ln, Hazel Adler Ct, Holly Moor Ln, Holly Springs New Hill Rd, Holly Thorn Trace, Leafy Holly Dr, Magnolia Meadow Way, Oakbeech Ct, Owl Creek Ct, Pond Lily Ct, Pyracantha Dr, Rivendell Dr, Scarlet Tanager Cir, Summer Holly Ln, Sycamore Ridge Ln, Thomas Mill Rd, Threadleaf Dr, Trinity Creek Dr, Wingnut Ct, Winter Ridge Dr, Winterberry Ln		0X50080050	0X14	0X7E8E0000	0X19350004	0X2005000
2020-04-15 16:16:23		55, Beaconwood Ln, Begonia Trail, Bennet Knoll Pkwy, Big Laurel Ct, Bonhurst Dr, Bracken Trail Cir, Bright Shade Ct, Chambord Way, Crabwall Ct, Cypress Hill Ln, Easton St, Echo Hills Ct, Forest Haven Dr, Gb Alford Hwy, Goose Rock Ct, Grand Hill Pl, Gremar Dr, Hallwood Ct, Holly Springs New Hill Rd, Irving Pkwy, Knobview Ct, Ladys Mantle Ln, Laurel Bay Ln, Linden Ridge Dr, Little Leaf Ct, Maritime Pine Ln, Marleton Way, Merrimont Way, Moore Hill Way, Moss Rock Ct, Muses Mill Ct, New Hill Rd, Oakhall Dr, Old Holly Springs Apex Rd, Pensby Ct, Ramshorn Ct, Sawleaf Ct, Silverstone Way, Spooner Ct, Sportsmanship Way, Spruce Ridge Ct, Starkland Way, Stonehedge Ct, Sudano Ct, Sweet Violet Dr, Sweetwood Trace Ct, Tisbury Dr, Townsgate Ct, Vinewood Pl, Volta Pl, W Holly Springs Rd, White Cedar Run, Woodlark Ln		0X50080050	0X14	0X7ECE0000	0X19340004	0X2005000
2020-04-15 16:16:23		Cleveland & Holly Springs Ace Hardware, Food Lion, Sonic Drive-In		0X34080050	0X14	0X7F0E0000	0X19340004	0X2003400
2020-04-15 16:16:23		55, Abbott Ridge Ct, Aldeburgh Ct, Amacord Way, Anchor Creek Way, Apple Drupe Way, Arbor Creek Dr, Arbor Crest Rd, Arbor Forest Dr, Arbor Glen Ct, Arbor Light Rd, Arbor Tree Ct, Arbor Wynds Ct, Arctic Ridge Way, Bahama Ct, Banyan Creek Pl, Barbados Ct, Bikram Dr, Boatdock Dr, Bonhurst Dr, Bottlebrush Ct, Bountywood Dr, Branchside Ln, Brush Hill Ln, Canford Way, Capello Ct, Cayman Ave, Chrismill Ln, Clardona Way, Cliffcreek Dr, Cobblebrook Ct, Cobblepoint Way, Commons Dr, Creek Haven Dr, Creekvista Dr, Crossway Ln, Daisy Grove Ln, Dawning Creek Dr, Easton St, Field Pine Way, Flint Point Ln, Folsom Dr, Garringer Ct, Gooseberry Dr, Guadeloupe Ct, Harmony Creek Pl, Holly Glade Cir, Holmby Ct, Ironcreek Pl, Katha Dr, Landbridge Ln, Leafgate Ct, Lockley Dr, Mallow Ct, Malmedy Dr, Masden Rd, McClain St, McLeod Forest Cir, Mendells Dr, Midden Way, Milpass Dr, Morena Rd, Mystic Pine Pl, N Main St, Nevis Dr, Oakhall Dr, Old Ride Dr, Olvera Way, Orvis Dr, Palmdale Ct, Quantum Dr, Richardson St, River Falls Dr, Saltybrook Ln, Sanchez Ct, Sandy Point Way, Shopsgate Ct, Skymont Dr, Sportsmanship Way, St Croix Dr, St Kitts Ct, St Lucia Ct, St Vincent Dr, Steedmont Dr, Steepridge Ln, Sunny Chloe Ct, Sunset Grove Dr, Trayesan Dr, Victory Falls Dr, Wellspring Dr		0X50080050	0X14	0X7F0E0000	0X19340004	0X2005000
